acct_id,cust_ref,acct_type,opened_dt,acct_status,currency_cd
1001,1,credit,2024-09-30,closed,EUR
1002,1,savings,2025-05-06,frozen,EUR
1003,1,savings,2024-05-11,ACTIVE,GBP
1004,2,credit,2024-09-21,ACTIVE,GBP
1005,2,credit,2024-09-12,active,GBP
1006,2,current,2026-03-04,ACTIVE,GBP
1007,3,current,2024-11-14,closed,EUR
1008,3,savings,2024-10-26,closed,EUR
1009,4,savings,2025-11-25,ACTIVE,GBP
1010,4,current,2024-05-26,active,GBP
1011,5,current,2025-02-17,ACTIVE,USD
1012,5,current,2025-11-19,closed,GBP
1013,5,current,2024-05-03,frozen,USD
1014,6,current,2025-09-11,frozen,USD
1015,6,current,2025-05-22,active,EUR
1016,6,credit,2025-04-28,active,GBP
1017,7,savings,2025-03-23,active,EUR
1018,7,credit,2026-05-14,active,GBP
1019,7,credit,2025-08-23,frozen,GBP
1020,8,savings,2026-02-28,closed,GBP
1021,9,current,2025-12-25,closed,EUR
1022,9,current,2025-08-28,closed,GBP
1023,9,current,2026-01-02,closed,USD
1024,10,current,2026-07-12,closed,GBP
1025,10,credit,2025-08-06,closed,EUR
1026,10,savings,2025-01-27,closed,GBP
1027,11,current,2025-05-12,ACTIVE,EUR
1028,11,current,2025-08-22,active,EUR
1029,12,current,2024-11-02,closed,USD
1030,13,current,2024-09-22,ACTIVE,EUR
1031,13,current,2026-03-16,active,GBP
1032,13,current,2025-11-08,active,GBP
1033,14,credit,2025-09-01,closed,GBP
1034,14,current,2024-06-22,active,GBP
1035,15,current,2026-07-13,active,GBP
1036,15,current,2024-10-05,ACTIVE,GBP
1037,16,current,2026-01-09,frozen,GBP
1038,17,current,2026-03-25,ACTIVE,USD
1039,18,credit,2025-04-12,active,GBP
1040,19,current,2024-11-18,active,GBP
1041,19,current,2026-04-13,active,USD
1042,19,current,2024-09-07,closed,GBP
1043,20,savings,2024-12-03,ACTIVE,GBP
1044,21,current,2024-11-25,frozen,GBP
1045,21,current,2025-08-11,active,GBP
1046,21,credit,2025-03-01,ACTIVE,EUR
1047,22,current,2026-04-15,active,EUR
1048,22,savings,2024-08-07,closed,GBP
1049,23,credit,2025-02-13,frozen,USD
1050,23,current,2024-05-30,closed,EUR
1051,23,credit,2024-07-14,active,GBP
1052,24,current,2025-10-20,active,EUR
1053,25,current,2024-11-15,active,GBP
1054,25,credit,2025-03-13,active,EUR
1055,25,credit,2025-12-27,active,GBP
1056,26,credit,2024-11-29,frozen,GBP
1057,26,savings,2025-02-18,ACTIVE,GBP
1058,27,current,2025-06-11,frozen,GBP
1059,27,current,2024-08-24,closed,EUR
1060,27,current,2024-05-12,ACTIVE,GBP
1061,28,savings,2025-06-13,active,USD
1062,29,credit,2025-04-04,closed,USD
1063,29,credit,2025-08-28,closed,GBP
1064,30,savings,2025-11-17,ACTIVE,GBP
1065,30,current,2025-09-12,frozen,GBP
1066,31,current,2025-12-23,active,USD
1067,32,credit,2024-11-28,ACTIVE,GBP
1068,32,savings,2025-10-02,active,GBP
1069,32,current,2025-09-26,frozen,GBP
1070,33,current,2026-06-16,frozen,GBP
1071,33,savings,2024-08-17,closed,GBP
1072,34,credit,2024-12-22,closed,EUR
1073,35,savings,2025-08-18,ACTIVE,GBP
1074,35,current,2025-03-30,ACTIVE,EUR
1075,36,current,2026-05-18,active,GBP
1076,36,credit,2024-04-23,ACTIVE,GBP
1077,37,current,2025-01-07,frozen,USD
1078,38,current,2025-12-13,closed,EUR
1079,38,current,2025-10-01,active,USD
1080,38,current,2024-11-04,frozen,GBP
1081,39,savings,2024-10-30,active,GBP
1082,40,savings,2025-11-29,frozen,GBP
1083,41,current,2026-07-30,closed,USD
1084,42,current,2025-10-07,active,GBP
1085,42,credit,2024-08-08,closed,GBP
1086,43,credit,2025-12-05,frozen,GBP
1087,43,current,2025-05-23,frozen,GBP
1088,43,savings,2024-10-07,active,GBP
1089,44,savings,2026-06-01,active,USD
1090,45,credit,2024-12-27,closed,GBP
1091,45,credit,2025-04-09,closed,GBP
1092,45,current,2025-03-07,closed,GBP
1093,46,current,2026-06-22,active,USD
1094,46,current,2025-11-18,ACTIVE,GBP
1095,46,current,2024-09-10,active,USD
1096,47,savings,2024-06-11,closed,USD
1097,48,credit,2025-05-06,active,USD
1098,48,current,2025-05-12,ACTIVE,EUR
1099,48,current,2025-08-10,active,GBP
1100,49,savings,2026-04-16,active,EUR
1101,49,current,2024-08-21,active,EUR
1102,49,current,2024-04-20,closed,GBP
1103,50,credit,2025-11-16,ACTIVE,EUR
1104,50,current,2025-02-21,frozen,EUR
1105,51,savings,2026-06-07,frozen,GBP
1106,51,current,2024-11-02,closed,GBP
1107,52,savings,2025-11-01,active,EUR
1108,53,current,2025-03-23,ACTIVE,USD
1109,53,savings,2024-05-05,active,GBP
1110,53,current,2025-01-14,frozen,EUR
1111,54,current,2025-12-14,closed,GBP
1112,55,current,2026-02-25,active,USD
1113,55,credit,2024-08-09,closed,EUR
1114,55,savings,2025-04-05,closed,USD
1115,56,savings,2025-07-05,frozen,USD
1116,57,current,2026-03-15,active,EUR
1117,57,credit,2025-08-18,ACTIVE,GBP
1118,57,credit,2024-07-19,frozen,USD
1119,58,savings,2025-03-18,closed,USD
1120,58,credit,2025-03-24,active,USD
1121,58,current,2024-06-11,closed,GBP
1122,59,savings,2024-08-17,frozen,EUR
1123,60,current,2024-05-29,ACTIVE,GBP
