pmt_id,txn_ref,pmt_method,pmt_status,pmt_amt_pence,processed_at,_batched_at
900001,500171,standing_order,pending,28179,2025-10-02 09:03:00,2026-08-10 18:00:00
900002,500185,card,failed,42478,2026-05-12 22:11:00,2026-08-10 22:00:00
900003,500564,standing_order,refunded,22902,2025-09-19 13:26:00,2026-08-10 23:00:00
900004,500412,standing_order,pending,36016,2026-06-13 18:32:00,2026-08-10 23:00:00
900005,500517,standing_order,failed,27231,2026-03-25 02:35:00,2026-08-10 13:00:00
900006,500346,direct_debit,completed,11566,2025-12-30 10:29:00,2026-08-10 16:00:00
900007,500162,bank_transfer,refunded,3476,2025-10-01 03:23:00,2026-08-10 19:00:00
900008,500547,direct_debit,completed,41480,2026-08-09 06:34:00,2026-08-10 19:00:00
900009,500454,direct_debit,completed,3675,2026-01-09 09:40:00,2026-08-10 13:00:00
900010,500361,card,pending,17517,2026-01-21 18:29:00,2026-08-10 15:00:00
900011,500323,direct_debit,refunded,6075,2026-03-07 00:44:00,2026-08-10 14:00:00
900012,500598,direct_debit,completed,6514,2026-03-11 19:47:00,2026-08-10 17:00:00
900013,500333,standing_order,completed,18485,2026-01-14 00:30:00,2026-08-10 21:00:00
900014,500381,direct_debit,completed,24290,2026-07-18 23:15:00,2026-08-10 22:00:00
900015,500423,bank_transfer,pending,25428,2026-01-18 20:31:00,2026-08-10 13:00:00
900016,500441,card,completed,44199,2026-01-11 19:01:00,2026-08-10 22:00:00
900017,500332,bank_transfer,completed,16257,2026-05-29 08:21:00,2026-08-10 15:00:00
900018,500247,direct_debit,completed,17106,2026-02-24 12:54:00,2026-08-10 15:00:00
900019,500577,card,refunded,13203,2025-12-29 17:13:00,2026-08-10 21:00:00
900020,500559,direct_debit,COMPLETED,26168,2025-12-13 01:57:00,2026-08-10 21:00:00
900021,500220,card,completed,6399,2026-01-01 02:10:00,2026-08-10 19:00:00
900022,500385,standing_order,completed,44858,2025-09-13 02:28:00,2026-08-10 13:00:00
900023,500589,card,COMPLETED,1376,2025-09-19 07:36:00,2026-08-10 20:00:00
900024,500261,bank_transfer,completed,25296,2026-01-24 11:22:00,2026-08-10 16:00:00
900025,500369,standing_order,failed,26191,2025-08-06 13:55:00,2026-08-10 23:00:00
900026,500464,direct_debit,COMPLETED,7580,2026-07-23 18:04:00,2026-08-10 14:00:00
900027,500459,standing_order,completed,19886,2026-07-17 16:21:00,2026-08-10 16:00:00
900028,500407,card,COMPLETED,34247,2026-07-19 01:42:00,2026-08-10 15:00:00
900029,500001,direct_debit,completed,25452,2025-12-12 13:02:00,2026-08-10 21:00:00
900030,500036,card,pending,8457,2026-02-27 18:49:00,2026-08-10 18:00:00
900031,500292,direct_debit,refunded,5671,2026-03-03 00:45:00,2026-08-10 23:00:00
900032,500017,bank_transfer,completed,29039,2025-09-24 18:58:00,2026-08-10 23:00:00
900033,500531,standing_order,COMPLETED,37826,2026-06-12 21:44:00,2026-08-10 21:00:00
900034,500139,direct_debit,completed,25921,2026-03-07 21:59:00,2026-08-10 12:00:00
900035,500310,card,completed,17927,2026-04-07 09:02:00,2026-08-10 19:00:00
900036,500007,bank_transfer,completed,29226,2025-07-18 21:15:00,2026-08-10 22:00:00
900037,500308,card,completed,955,2025-11-26 06:58:00,2026-08-10 16:00:00
900038,500228,card,pending,4967,2025-07-11 22:42:00,2026-08-10 19:00:00
900039,500580,standing_order,failed,18244,2025-09-22 05:40:00,2026-08-10 20:00:00
900040,500590,card,completed,43291,2025-09-28 19:40:00,2026-08-10 14:00:00
900041,500023,card,completed,31048,2025-09-21 08:54:00,2026-08-10 12:00:00
900042,500283,standing_order,failed,5551,2026-03-25 10:19:00,2026-08-10 18:00:00
900043,500524,bank_transfer,COMPLETED,851,2025-07-12 04:20:00,2026-08-10 14:00:00
900044,500159,standing_order,completed,19185,2026-01-23 04:11:00,2026-08-10 21:00:00
900045,500097,bank_transfer,COMPLETED,23272,2026-05-30 20:33:00,2026-08-10 23:00:00
900046,500039,card,completed,28086,2026-07-27 14:30:00,2026-08-10 13:00:00
900047,500472,direct_debit,refunded,38528,2025-08-07 20:56:00,2026-08-10 14:00:00
900048,500365,standing_order,completed,31268,2026-01-26 13:34:00,2026-08-10 18:00:00
900049,500160,direct_debit,completed,14173,2025-12-29 00:44:00,2026-08-10 13:00:00
900050,500142,bank_transfer,completed,12906,2026-07-19 13:57:00,2026-08-10 22:00:00
900051,500272,bank_transfer,failed,4040,2026-06-02 09:08:00,2026-08-10 15:00:00
900052,500376,card,completed,6586,2026-03-10 08:43:00,2026-08-10 13:00:00
900053,500256,bank_transfer,completed,4250,2026-04-25 12:43:00,2026-08-10 12:00:00
900054,500239,direct_debit,COMPLETED,41627,2026-05-12 15:40:00,2026-08-10 18:00:00
900055,500263,standing_order,completed,29706,2026-03-18 15:49:00,2026-08-10 23:00:00
900056,500578,standing_order,COMPLETED,10544,2026-01-23 20:41:00,2026-08-10 13:00:00
900057,500095,bank_transfer,completed,3279,2025-07-12 01:45:00,2026-08-10 17:00:00
900058,500410,bank_transfer,failed,24738,2026-02-04 09:19:00,2026-08-10 12:00:00
900059,500223,card,COMPLETED,25653,2026-05-20 22:45:00,2026-08-10 14:00:00
900060,500080,bank_transfer,completed,8525,2026-01-31 22:10:00,2026-08-10 21:00:00
900061,500588,card,completed,35644,2026-05-24 21:42:00,2026-08-10 17:00:00
900062,500495,direct_debit,failed,34090,2026-02-05 13:58:00,2026-08-10 14:00:00
900063,500178,direct_debit,failed,5515,2026-04-08 04:12:00,2026-08-10 22:00:00
900064,500500,bank_transfer,pending,18553,2026-05-20 08:56:00,2026-08-10 23:00:00
900065,500098,standing_order,completed,23782,2025-09-05 13:55:00,2026-08-10 16:00:00
900066,500545,bank_transfer,completed,8744,2026-01-18 22:32:00,2026-08-10 19:00:00
900067,500555,bank_transfer,COMPLETED,17679,2026-03-04 17:19:00,2026-08-10 22:00:00
900068,500391,card,refunded,39473,2025-07-17 16:03:00,2026-08-10 20:00:00
