txn_id,acct_no,txn_amt_pence,txn_ccy,txn_type,txn_ts,merchant_nm,mcc_code,_loaded_at
500001,1096,-25452,USD,direct_debit,2025-12-11 01:02:00,John Lewis,6034,2026-08-10 16:00:00
500002,1005,-6727,GBP,card_purchase,2026-06-07 07:23:00,TfL,5819,2026-08-10 16:00:00
500003,1002,-10266,EUR,direct_debit,2025-08-06 19:34:00,Amazon UK,7334,2026-08-10 19:00:00
500004,1044,21682,GBP,transfer_in,2025-09-25 01:35:00,,,2026-08-10 17:00:00
500005,1123,-32128,GBP,direct_debit,2026-03-01 03:15:00,Deliveroo,5558,2026-08-10 22:00:00
500006,1031,-15058,GBP,card_purchase,2025-09-21 02:02:00,Spotify,5781,2026-08-10 17:00:00
500007,1013,-29226,USD,direct_debit,2025-07-17 03:15:00,Shell,6637,2026-08-10 23:00:00
500008,1006,-28375,GBP,card_purchase,2026-02-25 22:42:00,Shell,6411,2026-08-10 17:00:00
500009,1073,-40093,GBP,card_purchase,2025-08-26 18:50:00,Sainsburys,7949,2026-08-10 20:00:00
500010,1064,-16794,GBP,card_purchase,2025-10-16 19:46:00,TfL,6456,2026-08-10 23:00:00
500011,1116,-4990,EUR,card_purchase,2025-12-15 14:17:00,TfL,6826,2026-08-10 19:00:00
500012,1082,-19949,GBP,card_purchase,2026-01-05 01:44:00,Pret A Manger,6986,2026-08-10 16:00:00
500013,1014,-19540,USD,card_purchase,2026-04-11 11:24:00,Spotify,6620,2026-08-10 23:00:00
500014,1107,-3364,EUR,card_purchase,2025-09-07 11:43:00,Boots,7445,2026-08-10 19:00:00
500015,1100,-41871,EUR,card_purchase,2026-04-15 04:09:00,Pret A Manger,7954,2026-08-10 19:00:00
500016,1087,9113,GBP,transfer_in,2025-07-20 00:11:00,,,2026-08-10 22:00:00
500017,1116,-29039,EUR,card_purchase,2025-09-23 03:58:00,Tesco,7784,2026-08-10 18:00:00
500018,1094,-27380,GBP,card_purchase,2026-06-04 21:02:00,Shell,6233,2026-08-10 21:00:00
500019,1101,-18010,EUR,card_purchase,2025-11-07 12:27:00,Shell,6463,2026-08-10 16:00:00
500020,1104,-7697,EUR,card_purchase,2026-03-12 00:05:00,TfL,5719,2026-08-10 21:00:00
500021,1097,-26194,USD,transfer_out,2026-04-17 02:14:00,,,2026-08-10 18:00:00
500022,1012,-29954,GBP,card_purchase,2026-01-20 23:44:00,Netflix,6484,2026-08-10 17:00:00
500023,1106,-31048,GBP,transfer_out,2025-09-18 12:54:00,,,2026-08-10 23:00:00
500024,1080,42594,GBP,transfer_in,2025-10-27 13:02:00,,,2026-08-10 22:00:00
500025,1082,7796,GBP,transfer_in,2025-12-16 01:41:00,,,2026-08-10 21:00:00
500026,1006,-15537,GBP,card_purchase,2026-07-22 14:29:00,Deliveroo,5966,2026-08-10 17:00:00
500027,1059,-35552,EUR,transfer_out,2026-02-02 02:13:00,,,2026-08-10 17:00:00
500028,1076,-43070,GBP,direct_debit,2025-07-26 00:51:00,Amazon UK,7415,2026-08-10 17:00:00
500029,1121,-29207,GBP,card_purchase,2026-03-20 22:16:00,TfL,6378,2026-08-10 18:00:00
500030,1013,-42409,USD,direct_debit,2025-08-24 12:26:00,Netflix,5659,2026-08-10 17:00:00
500031,1036,-6157,GBP,direct_debit,2026-05-05 20:06:00,John Lewis,6279,2026-08-10 23:00:00
500032,1007,-13598,EUR,transfer_out,2026-02-21 16:52:00,,,2026-08-10 22:00:00
500033,1107,15419,EUR,transfer_in,2025-07-15 06:47:00,,,2026-08-10 18:00:00
500034,1100,-9632,EUR,card_purchase,2026-05-27 05:00:00,Shell,7623,2026-08-10 19:00:00
500035,1103,-8787,EUR,direct_debit,2026-05-13 20:18:00,Tesco,6878,2026-08-10 20:00:00
500036,1076,-8457,GBP,card_purchase,2026-02-26 23:49:00,Spotify,7135,2026-08-10 22:00:00
500037,1096,-33785,USD,transfer_out,2026-07-09 08:32:00,,,2026-08-10 22:00:00
500038,1058,-43331,GBP,card_purchase,2025-11-26 16:21:00,Deliveroo,6646,2026-08-10 16:00:00
500039,1083,-28086,USD,direct_debit,2026-07-26 22:30:00,John Lewis,5853,2026-08-10 16:00:00
500040,1092,-40015,GBP,card_purchase,2025-12-26 21:03:00,Shell,5680,2026-08-10 21:00:00
500041,1036,-21461,GBP,card_purchase,2025-09-25 03:23:00,Sainsburys,7857,2026-08-10 19:00:00
500042,1059,-7648,EUR,card_purchase,2025-11-25 04:33:00,John Lewis,7669,2026-08-10 20:00:00
500043,1056,-29870,GBP,card_purchase,2025-12-22 16:34:00,Sainsburys,7114,2026-08-10 22:00:00
500044,1041,-10153,USD,card_purchase,2026-01-04 13:18:00,John Lewis,7353,2026-08-10 22:00:00
500045,1012,-24571,GBP,card_purchase,2026-06-28 21:33:00,Shell,7689,2026-08-10 23:00:00
500046,1076,-27072,GBP,transfer_out,2025-10-27 06:39:00,,,2026-08-10 18:00:00
500047,1112,-3521,USD,direct_debit,2025-09-04 10:05:00,Uber,7870,2026-08-10 19:00:00
500048,1046,-43189,EUR,card_purchase,2026-06-18 05:28:00,TfL,6329,2026-08-10 22:00:00
500049,1045,-37774,GBP,transfer_out,2025-10-30 12:53:00,,,2026-08-10 20:00:00
500050,1104,-40361,EUR,direct_debit,2026-01-03 06:11:00,John Lewis,7691,2026-08-10 23:00:00
500051,1078,-18059,EUR,card_purchase,2025-09-08 01:43:00,Spotify,6676,2026-08-10 18:00:00
500052,1045,-43229,GBP,card_purchase,2026-08-07 18:05:00,Sainsburys,5696,2026-08-10 21:00:00
500053,1095,-14248,USD,transfer_out,2025-09-20 23:55:00,,,2026-08-10 17:00:00
500054,1054,-21408,EUR,card_purchase,2025-12-21 13:50:00,Boots,7853,2026-08-10 22:00:00
500055,1114,-3411,USD,transfer_out,2026-07-15 19:50:00,,,2026-08-10 22:00:00
500056,1035,-29119,GBP,card_purchase,2025-12-27 02:33:00,Sainsburys,6529,2026-08-10 20:00:00
500057,1097,-18712,USD,card_purchase,2025-11-21 20:38:00,John Lewis,7840,2026-08-10 16:00:00
500058,1068,-39427,GBP,card_purchase,2025-09-03 14:58:00,Tesco,5442,2026-08-10 20:00:00
500059,1039,-21653,GBP,card_purchase,2026-04-24 19:12:00,Amazon UK,5442,2026-08-10 16:00:00
500060,1096,-15230,USD,card_purchase,2026-01-02 18:52:00,Deliveroo,7699,2026-08-10 18:00:00
500061,1010,-30280,GBP,card_purchase,2026-01-19 00:58:00,Amazon UK,6693,2026-08-10 17:00:00
500062,1074,-7698,EUR,card_purchase,2026-01-15 01:20:00,Sainsburys,5496,2026-08-10 18:00:00
500063,1022,-23864,GBP,transfer_out,2025-09-28 09:07:00,,,2026-08-10 22:00:00
500064,1056,34488,GBP,transfer_in,2026-06-17 16:33:00,,,2026-08-10 22:00:00
500065,1051,-11168,GBP,card_purchase,2026-03-05 00:39:00,Amazon UK,7501,2026-08-10 22:00:00
500066,1068,-23159,GBP,transfer_out,2025-11-22 17:03:00,,,2026-08-10 21:00:00
500067,1031,-39628,GBP,card_purchase,2026-06-19 19:44:00,Shell,5719,2026-08-10 21:00:00
500068,1122,-37094,EUR,card_purchase,2025-07-11 03:29:00,Boots,7249,2026-08-10 18:00:00
500069,1111,-30881,GBP,card_purchase,2025-09-23 13:51:00,TfL,7997,2026-08-10 19:00:00
500070,1102,-5012,GBP,card_purchase,2026-03-23 05:57:00,Uber,7302,2026-08-10 16:00:00
500071,1005,-42398,GBP,card_purchase,2026-07-12 12:07:00,Amazon UK,7930,2026-08-10 17:00:00
500072,1060,-2838,GBP,transfer_out,2025-10-17 06:10:00,,,2026-08-10 16:00:00
500073,1117,-31320,GBP,card_purchase,2025-10-22 03:48:00,Deliveroo,6028,2026-08-10 23:00:00
500074,1058,-42494,GBP,card_purchase,2026-06-19 13:15:00,Shell,5571,2026-08-10 20:00:00
500075,1091,-10553,GBP,card_purchase,2025-12-29 09:27:00,Netflix,6938,2026-08-10 19:00:00
500076,1050,41495,EUR,transfer_in,2026-01-13 13:17:00,,,2026-08-10 18:00:00
500077,1009,-18771,GBP,transfer_out,2026-02-23 20:25:00,,,2026-08-10 19:00:00
500078,1093,-5491,USD,card_purchase,2025-09-08 04:05:00,Boots,5990,2026-08-10 18:00:00
500079,1040,-39146,GBP,card_purchase,2025-09-09 01:18:00,Spotify,5758,2026-08-10 19:00:00
500080,1072,-8525,EUR,card_purchase,2026-01-30 03:10:00,John Lewis,7567,2026-08-10 22:00:00
500081,1083,-23913,USD,card_purchase,2025-09-01 10:28:00,Uber,6149,2026-08-10 20:00:00
500082,1044,-9165,GBP,card_purchase,2025-07-14 08:48:00,Shell,5727,2026-08-10 19:00:00
500083,1109,-34656,GBP,card_purchase,2026-06-20 07:11:00,Tesco,6790,2026-08-10 21:00:00
500084,1077,-41092,USD,card_purchase,2026-01-30 19:50:00,Shell,7203,2026-08-10 23:00:00
500085,1053,-29261,GBP,card_purchase,2026-02-05 02:14:00,Boots,6578,2026-08-10 16:00:00
500086,1030,30887,EUR,refund,2025-11-10 16:41:00,Pret A Manger,6917,2026-08-10 16:00:00
500087,1060,-34717,GBP,card_purchase,2025-07-13 14:11:00,Sainsburys,6074,2026-08-10 20:00:00
500088,1103,-42170,EUR,card_purchase,2025-10-05 19:05:00,TfL,6931,2026-08-10 22:00:00
500089,1092,-10656,GBP,card_purchase,2025-11-19 20:42:00,Uber,7251,2026-08-10 21:00:00
500090,1107,-29715,EUR,card_purchase,2025-12-30 21:02:00,Netflix,5520,2026-08-10 17:00:00
500091,1007,-5498,EUR,card_purchase,2026-01-20 07:37:00,Netflix,6330,2026-08-10 23:00:00
500092,1041,-9721,USD,card_purchase,2026-06-21 01:19:00,Shell,5567,2026-08-10 19:00:00
500093,1118,-30893,USD,card_purchase,2025-12-12 01:07:00,TfL,7931,2026-08-10 23:00:00
500094,1116,-9948,EUR,card_purchase,2026-07-01 23:44:00,Deliveroo,7904,2026-08-10 17:00:00
500095,1015,-3279,EUR,card_purchase,2025-07-09 14:45:00,Pret A Manger,7130,2026-08-10 16:00:00
500096,1009,-41565,GBP,card_purchase,2026-06-15 08:22:00,Deliveroo,7766,2026-08-10 20:00:00
500097,1092,-23272,GBP,card_purchase,2026-05-29 14:33:00,Pret A Manger,7748,2026-08-10 17:00:00
500098,1024,-23782,GBP,card_purchase,2025-09-04 02:55:00,Amazon UK,7565,2026-08-10 23:00:00
500099,1050,-24614,EUR,card_purchase,2025-12-13 22:20:00,Uber,5477,2026-08-10 18:00:00
500100,1101,-41323,EUR,transfer_out,2026-07-07 12:45:00,,,2026-08-10 22:00:00
500101,1099,-3055,GBP,card_purchase,2025-10-17 00:12:00,Netflix,7647,2026-08-10 18:00:00
500102,1105,-30599,GBP,transfer_out,2025-09-15 18:07:00,,,2026-08-10 16:00:00
500103,1081,-30144,GBP,transfer_out,2026-05-09 19:56:00,,,2026-08-10 23:00:00
500104,1038,-2896,USD,card_purchase,2026-04-29 22:10:00,Netflix,6681,2026-08-10 17:00:00
500105,1105,-42545,GBP,card_purchase,2025-11-05 08:44:00,Pret A Manger,6582,2026-08-10 18:00:00
500106,1111,18055,GBP,transfer_in,2025-07-07 22:05:00,,,2026-08-10 22:00:00
500107,1103,-28968,EUR,card_purchase,2026-02-03 10:04:00,Sainsburys,6799,2026-08-10 21:00:00
500108,1064,-34181,GBP,direct_debit,2025-08-21 08:37:00,Uber,5749,2026-08-10 17:00:00
500109,1011,-19402,USD,card_purchase,2026-01-02 04:08:00,Netflix,5831,2026-08-10 22:00:00
500110,1042,-28075,GBP,card_purchase,2025-09-06 14:41:00,Shell,7229,2026-08-10 18:00:00
500111,1058,-40444,GBP,direct_debit,2026-07-20 00:05:00,Sainsburys,6535,2026-08-10 23:00:00
500112,1010,-44675,GBP,card_purchase,2025-09-01 03:35:00,Shell,5538,2026-08-10 21:00:00
500113,1109,-8422,GBP,card_purchase,2025-10-03 02:10:00,Amazon UK,6377,2026-08-10 18:00:00
500114,1047,44653,EUR,transfer_in,2026-01-26 05:58:00,,,2026-08-10 16:00:00
500115,1122,-37762,EUR,transfer_out,2026-02-02 12:32:00,,,2026-08-10 21:00:00
500116,1068,16508,GBP,transfer_in,2026-02-04 11:40:00,,,2026-08-10 22:00:00
500117,1004,-36959,GBP,card_purchase,2025-07-30 18:29:00,Amazon UK,6483,2026-08-10 19:00:00
500118,1091,-32341,GBP,card_purchase,2025-12-25 17:21:00,Pret A Manger,5913,2026-08-10 21:00:00
500119,1110,-29320,EUR,direct_debit,2026-07-04 09:49:00,Amazon UK,6720,2026-08-10 18:00:00
500120,1091,-19807,GBP,card_purchase,2026-07-08 06:26:00,Shell,6124,2026-08-10 18:00:00
500121,1066,-15664,USD,direct_debit,2026-04-18 20:48:00,TfL,5518,2026-08-10 18:00:00
500122,1071,-36302,GBP,direct_debit,2025-10-21 12:31:00,Shell,7917,2026-08-10 22:00:00
500123,1009,-34601,GBP,transfer_out,2026-03-05 11:15:00,,,2026-08-10 17:00:00
500124,1099,-20926,GBP,card_purchase,2026-01-13 05:56:00,John Lewis,5714,2026-08-10 16:00:00
500125,1060,-36280,GBP,card_purchase,2025-08-27 07:38:00,John Lewis,7818,2026-08-10 21:00:00
500126,1099,-3781,GBP,direct_debit,2026-06-05 10:28:00,Amazon UK,7533,2026-08-10 21:00:00
500127,1039,-14926,GBP,direct_debit,2026-05-18 18:40:00,Netflix,7536,2026-08-10 19:00:00
500128,1109,36249,GBP,transfer_in,2026-07-01 15:48:00,,,2026-08-10 19:00:00
500129,1017,-33086,EUR,card_purchase,2025-09-24 14:21:00,John Lewis,6101,2026-08-10 21:00:00
500130,1022,-22276,GBP,direct_debit,2025-09-07 04:14:00,Boots,5579,2026-08-10 23:00:00
500131,1011,42822,USD,transfer_in,2026-07-18 03:11:00,,,2026-08-10 20:00:00
500132,1099,32789,GBP,transfer_in,2025-10-22 10:21:00,,,2026-08-10 19:00:00
500133,1083,-26763,USD,direct_debit,2026-03-09 08:45:00,Uber,7268,2026-08-10 22:00:00
500134,1089,-30587,USD,card_purchase,2026-07-11 18:32:00,Pret A Manger,6804,2026-08-10 21:00:00
500135,1041,22784,USD,refund,2025-08-08 13:14:00,Sainsburys,5946,2026-08-10 18:00:00
500136,1066,-8179,USD,card_purchase,2025-10-27 20:40:00,Uber,7252,2026-08-10 20:00:00
500137,1019,-40479,GBP,direct_debit,2026-06-22 22:42:00,Sainsburys,6427,2026-08-10 21:00:00
500138,1105,-10592,GBP,card_purchase,2026-02-24 05:14:00,TfL,7519,2026-08-10 16:00:00
500139,1064,-25921,GBP,card_purchase,2026-03-06 08:59:00,Deliveroo,7283,2026-08-10 20:00:00
500140,1028,-32583,EUR,card_purchase,2025-10-16 12:57:00,Boots,7338,2026-08-10 19:00:00
500141,1069,-17482,GBP,card_purchase,2026-08-06 20:33:00,Spotify,6909,2026-08-10 17:00:00
500142,1047,12906,EUR,transfer_in,2026-07-18 11:57:00,,,2026-08-10 18:00:00
500143,1071,-36185,GBP,card_purchase,2026-03-16 21:36:00,Uber,7963,2026-08-10 22:00:00
500144,1017,-22372,EUR,direct_debit,2026-06-22 11:37:00,Deliveroo,6908,2026-08-10 21:00:00
500145,1026,-3119,GBP,card_purchase,2025-10-06 07:35:00,Tesco,5972,2026-08-10 18:00:00
500146,1103,-33934,EUR,card_purchase,2025-12-11 07:31:00,Shell,6754,2026-08-10 18:00:00
500147,1021,-39060,EUR,direct_debit,2026-01-21 04:13:00,Netflix,7488,2026-08-10 16:00:00
500148,1091,-24290,GBP,direct_debit,2025-10-26 14:30:00,Netflix,5859,2026-08-10 17:00:00
500149,1075,-1896,GBP,transfer_out,2026-03-06 00:05:00,,,2026-08-10 16:00:00
500150,1034,-3515,GBP,card_purchase,2025-09-09 05:24:00,Boots,7378,2026-08-10 21:00:00
500151,1068,-25066,GBP,transfer_out,2025-09-22 00:21:00,,,2026-08-10 21:00:00
500152,1106,7352,GBP,transfer_in,2025-08-27 16:58:00,,,2026-08-10 20:00:00
500153,1003,-13512,GBP,card_purchase,2025-12-28 13:34:00,Sainsburys,7466,2026-08-10 16:00:00
500154,1112,-34142,USD,transfer_out,2025-07-30 00:57:00,,,2026-08-10 20:00:00
500155,1072,-20712,EUR,card_purchase,2026-02-25 02:30:00,Shell,7293,2026-08-10 18:00:00
500156,1070,-44763,GBP,direct_debit,2026-02-10 02:11:00,John Lewis,6493,2026-08-10 16:00:00
500157,1025,-19654,EUR,card_purchase,2026-04-06 15:25:00,Uber,6260,2026-08-10 16:00:00
500158,1041,-18071,USD,direct_debit,2025-12-08 12:25:00,Uber,5910,2026-08-10 17:00:00
500159,1115,-19185,USD,direct_debit,2026-01-20 12:11:00,Tesco,6589,2026-08-10 22:00:00
500160,1045,-14173,GBP,transfer_out,2025-12-27 03:44:00,,,2026-08-10 20:00:00
500161,1106,17950,GBP,transfer_in,2025-11-08 15:01:00,,,2026-08-10 21:00:00
500162,1014,-3476,USD,card_purchase,2025-09-29 00:23:00,John Lewis,7586,2026-08-10 20:00:00
500163,1082,-31109,GBP,card_purchase,2026-04-13 22:54:00,Amazon UK,5974,2026-08-10 23:00:00
500164,1071,-31325,GBP,direct_debit,2026-05-22 10:19:00,TfL,6227,2026-08-10 19:00:00
500165,1042,-6012,GBP,direct_debit,2026-03-17 03:57:00,John Lewis,7762,2026-08-10 20:00:00
500166,1069,-11623,GBP,direct_debit,2025-07-28 00:06:00,Sainsburys,6131,2026-08-10 23:00:00
500167,1108,-19120,USD,direct_debit,2026-01-19 08:49:00,Tesco,5448,2026-08-10 19:00:00
500168,1073,18799,GBP,refund,2025-10-06 20:01:00,TfL,7636,2026-08-10 16:00:00
500169,1114,-7532,USD,card_purchase,2026-06-03 07:31:00,Netflix,6076,2026-08-10 16:00:00
